feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,17528988200294039089,231328126.1446076248284414505549761,508251219.1036161633056303878918361,6933138,462656252289.215249656882901109959,0.0002700592529812116235178128431856774,137393.8338237095472492405637243738,239885664.388426,72546.353147122495454904,462626985043.898225,218588908.655573987778769925
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,4860382500740853567,45838419.15529531409326613418141891,104365279.9107572097214729797321079,3899813,91676838310.59062818653226836283381,3702.328579099682613634085969335606,28212.71329228275856247384322730536,14707.988476704828138705,49957066.19544,38582306.628849227860928468,91549224888.996239
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,132379864816302178,7844111.882693273719469150164745879,30238154.52473,800352,78441118826.93273719469150164745879,1.000164101895885132824541761364648,8174.178087036575492703808083511338,12736927.143022,17501227.381708,78459876417.066481,78423587084.983326
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,8254538024945499224,230542733.7408979137727234227075771,390372743.1230936873016351208113044,721325,76847577913.63263792424114090253742,0.0002703266193163805085065531399459011,105528.1439217277442848766814789587,182352960.65685,56233.284545028542174437,76843851387.647521,33743634.411966050695216816
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,343504677854311812,33083508.35444213649732111961401401,152882616.9768046842494321181757345,926939,66167016708.88427299464223922802565,18.8507209612623411407241014122589,41328.24099958069181744559706881663,849.73408533,25331.721393192387423685,2152077.68794149,33446497.495193440548016511
