feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,17416207186564009491,231340210.1104050260844470725236987,506494009.2113369611088789390499796,6933443,462680420220.810052168894145047404,0.0002725774374533368810637797670707226,137825.5414548899188975897696338831,235152092.227864,73836.700824728861823967,462651143615.504769,218595449.586167314385564514
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,4601153279422142970,45843878.73791334089369274017360563,104008874.3039997413317184490096489,3900007,91687757475.8266817873854803472074,3669.66686962769331180664330473231,28302.56460364365971159677201718647,15054.678429560758155786,48684553.755828,38585260.017323705457716635,91560133982.647173
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,132379864816302178,7844175.447754509765765463584835646,30238147.870463,800385,78441754477.54509765765463584835646,1.000157502935594830206131027730609,8226.48043597408667023295851165341,13173660.163504,17064487.706959,78460512039.509819,78424222765.346183
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,8254480603385355593,230552087.7070636497688054579941109,389008101.3461036164508800996617901,721344,76850695902.35454992293515266471538,0.000272116824579027895519411995064232,105855.6492738183831459641622265389,180700979.291058,56683.872590815000828974,76846965996.222085,33744478.633919830734521365
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,343816836370814409,33086429.31822628526304474392746076,152817015.6495201930722238834118633,927007,66172858636.45257052608948785491926,18.98525295141801658602301426707119,41584.08104019104703377909190386515,821.65559094,26019.699392688446714699,2152161.45830331,33448081.336669134677671467
