Week,Transactions,Tokens Locked,Tokens Released,Weekly Supply Change,Weekly Demand Change,Circulating Supply,Percentage change Price,Token Price
26,181.54252973917394,18.154252973917394,9.077126486958697,-9.077126486958697,10118.002644330463,99999796.73588003,2.0354893573035666e-05,10.06582550370024
27,181.73204024945662,18.17320402494566,9.08660201247283,-9.08660201247283,10118.125826162146,99999787.64927801,1.5036418331074836e-05,10.065976857663362
28,181.8705273365555,18.187052733655552,9.093526366827776,-9.093526366827776,10118.215842768761,99999778.55575165,1.0938840573395015e-05,10.066086967779423
29,181.97031402281237,18.197031402281237,9.098515701140618,-9.098515701140618,10118.280704114828,99999769.45723595,7.830971848803669e-06,10.066165795023094
30,182.041201442443,18.2041201442443,9.10206007212215,-9.10206007212215,10118.326780937588,99999760.35517588,5.5102325870189735e-06,10.066221261937885
31,182.09084196636147,18.209084196636148,9.104542098318074,-9.104542098318074,10118.359047278134,99999751.25063379,3.8040347272589416e-06,10.066259554193138
32,182.12510326797778,18.21251032679778,9.10625516339889,-9.10625516339889,10118.381317124185,99999742.14437863,2.5690426188942352e-06,10.066285414842945
33,182.1484053366527,18.21484053366527,9.107420266832635,-9.107420266832635,10118.396463468824,99999733.03695837,1.6889933597435621e-06,10.066302416732169
34,182.16401972019784,18.216401972019785,9.108200986009892,-9.108200986009892,10118.40661281813,99999723.92875738,1.0716593098334183e-06,10.066313204378869
35,182.1743260967597,18.21743260967597,9.108716304837985,-9.108716304837985,10118.413311962893,99999714.82004108,6.454189915525454e-07,10.066319701368586
36,182.18102562054548,18.21810256205455,9.109051281027275,-9.109051281027275,10118.417666653355,99999705.71098979,3.557845115052296e-07,10.066323282809224
37,182.18531347344987,18.21853134734499,9.109265673672494,-9.109265673672494,10118.420453757743,99999696.60172412,1.6212493407128513e-07,10.066324914811222
38,182.18801488435915,18.218801488435915,9.109400744217957,-9.109400744217957,10118.422209674833,99999687.49232337,3.473226548227388e-08,10.066325264437491
39,182.18968978395762,18.21896897839576,9.10948448919788,-9.10948448919788,10118.423298359572,99999678.38283888,-4.7697377923252755e-08,10.066324784300171
40,182.19071148210534,18.219071148210535,9.109535574105267,-9.109535574105267,10118.423962463368,99999669.2733033,-1.0014990098284642e-07,10.066323776158741
41,182.19132450443172,18.219132450443173,9.109566225221586,-9.109566225221586,10118.42436092788,99999660.16373707,-1.3296682306481872e-07,10.066322437671648
42,182.19168618882125,18.219168618882126,9.109584309441063,-9.109584309441063,10118.424596022733,99999651.05415276,-1.5314940427010684e-07,10.066320896020363
43,182.1918959661836,18.21918959661836,9.10959479830918,-9.10959479830918,10118.42473237802,99999641.94455796,-1.6534762274270185e-07,10.066319231578133
44,182.1920155394178,18.219201553941783,9.109600776970892,-9.109600776970892,10118.424810100621,99999632.83495718,-1.7259106621742628e-07,10.066317494221364
45,182.1920825004729,18.21920825004729,9.109604125023646,-9.109604125023646,10118.424853625309,99999623.72535306,-1.768158580627117e-07,10.066315714336799
46,182.19211932906677,18.219211932906678,9.109605966453339,-9.109605966453339,10118.424877563893,99999614.6157471,-1.79235520207112e-07,10.066313910095465
47,182.19213921651146,18.219213921651146,9.109606960825573,-9.109606960825573,10118.424890490733,99999605.50614013,-1.8059591483671552e-07,10.066312092160295
48,182.19214975685833,18.219214975685833,9.109607487842917,-9.109607487842917,10118.424897341958,99999596.39653264,-1.813465051627919e-07,10.066310266669777
49,182.19215523783902,18.2192155237839,9.10960776189195,-9.10960776189195,10118.424900904596,99999587.28692488,-1.817527895001735e-07,10.066308437089807
50,182.19215803313926,18.219215803313926,9.109607901656963,-9.109607901656963,10118.424902721541,99999578.17731698,-1.8196846662144645e-07,10.066306605339097
51,182.19215943078942,18.219215943078943,9.109607971539472,-9.109607971539472,10118.424903630013,99999569.06770901,-1.8208071458764763e-07,10.066304772458796
