Week,Transactions,Tokens Locked,Tokens Released,Weekly Supply Change,Weekly Demand Change,Circulating Supply,Percentage change Price,Token Price
0,100.0,0.0,0.0,0.0,10065.0,100000000.0,0.0,10.0
1,105.0,10.5,5.25,-5.25,10068.25,99999994.75,0.00040352142821107966,10.00403521428211
2,110.1975,11.019750000000002,5.509875000000001,-5.509875000000001,10071.628374999998,99999989.240125,0.0004193240388249459,10.00823014673271
3,115.54318072500001,11.554318072500003,5.777159036250001,-5.777159036250001,10075.10306747125,99999983.46296597,0.0004311320592082066,10.012545015604902
4,120.98003043106065,12.098003043106067,6.049001521553033,-6.049001521553033,10078.637019780188,99999977.41396445,0.00043833015603391437,10.01693381602389
5,126.4450023074681,12.64450023074681,6.322250115373405,-6.322250115373405,10082.189251499854,99999971.09171434,0.0004404380520125379,10.021345654840957
6,131.87124877233853,13.187124877233854,6.593562438616927,-6.593562438616927,10085.71631170202,99999964.4981519,0.00043715661265666516,10.025726552361688
7,137.19081009422626,13.719081009422627,6.859540504711314,-6.859540504711314,10089.174026561248,99999957.63861139,0.00042840387061485175,10.030021612422445
8,142.3375671661238,14.23375671661238,7.11687835830619,-7.11687835830619,10092.519418657981,99999950.52173303,0.0004143356077231825,10.034177407522703
9,147.25021932929218,14.725021932929218,7.362510966464609,-7.362510966464609,10095.71264256404,99999943.15922207,0.00039534665136779226,10.038144385959997
10,151.87502851954918,15.187502851954918,7.593751425977459,-7.593751425977459,10098.718768537707,99999935.56547064,0.0003720514155299843,10.04187909178809
11,156.16808647070445,15.616808647070446,7.808404323535223,-7.808404323535223,10101.509256205958,99999927.75706631,0.00034524503221649016,10.045346000658649
12,160.0969113747642,16.00969113747642,8.00484556873821,-8.00484556873821,10104.062992393596,99999919.75222073,0.0003158491401527001,10.048518814555493
13,163.64125655491335,16.364125655491335,8.182062827745668,-8.182062827745668,10106.366816760694,99999911.5701579,0.00028484848303229345,10.05138111989654
14,166.79310346906175,16.679310346906174,8.339655173453087,-8.339655173453087,10108.41551725489,99999903.23050272,0.0002532255151855945,10.053926386058954
15,169.55589967340802,16.955589967340803,8.477794983670401,-8.477794983670401,10110.211334787715,99999894.75270773,0.00022190005633523503,10.056157352890411
16,171.9431754561249,17.19431754561249,8.597158772806244,-8.597158772806244,10111.763064046481,99999886.15554896,0.00019167979040848863,10.058084915024127
17,173.97672105867133,17.397672105867134,8.698836052933567,-8.698836052933567,10113.084868688136,99999877.4567129,0.00016322540175011798,10.059726649975218
18,175.68452576767538,17.568452576767537,8.784226288383769,-8.784226288383769,10114.194941748989,99999868.67248662,0.00013703183837639679,10.061105152811628
19,177.09867235024765,17.709867235024767,8.854933617512383,-8.854933617512383,10115.11413702766,99999859.817553,0.00011342503204054556,10.062246333985948
20,178.25335128262464,17.825335128262463,8.912667564131231,-8.912667564131231,10115.864678333704,99999850.90488544,9.25717262493344e-05,10.063177813499033
21,179.183117210828,17.918311721082798,8.959155860541399,-8.959155860541399,10116.469026187038,99999841.94572958,7.449904141661393e-05,10.063927510599743
22,179.92146351014622,17.992146351014622,8.996073175507311,-8.996073175507311,10116.948951281594,99999832.94965641,5.91200540122918e-05,10.064522490537746
23,180.49974673279814,18.049974673279817,9.024987336639908,-9.024987336639908,10117.32483537632,99999823.92466907,4.626187309247988e-05,10.06498809419994
24,180.94645597669785,18.094645597669786,9.047322798834893,-9.047322798834893,10117.615196384853,99999814.87734628,3.569328543677427e-05,10.065347346692905
25,181.28679521018196,18.128679521018196,9.064339760509098,-9.064339760509098,10117.836416886617,99999805.81300652,2.7149820217249338e-05,10.065620619063793
