feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,17538630564011058219,231346361.8304488765638240893998111,506901523.0977645412149827043510461,6933587,462692723660.8977531276481787996288,0.0002714196030670416833696455232361578,137731.5112325607186656374403785665,237410298.651962,73224.15087649059780805,462663450358.878716,218598801.309211533136944103
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,4860382500740853567,45845560.89506641531502239346374588,104092397.1435664882324592825081185,3900106,91691121790.13283063004478692748804,3685.088473498041577628453676745813,28283.21185304113558494551447802575,14895.648076973056495269,49271052.1211,38586176.185785793783450554,91563499384.648411
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,132379864816302178,7844235.745070121688719551514470932,30238189.0413,800406,78442357450.70121688719551514470932,1.000155656782310071629960664530009,8216.095797350489599309829422253836,13295864.487018,16942324.554282,78461114976.830479,78424825784.379916
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,8254538024945499224,230557043.5452106924743467599190362,389322719.8608563844033745048714703,721360,76852347848.40356415811558663969048,0.000271712561427827599474973503338359,105783.8734354418565185791209653804,181076135.428434,56583.212864729853816553,76848618582.020853,33744928.395318951313021186
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,343541592754329450,33088034.8470462800192697062713624,153063869.2795952803093998496819942,927038,66176069694.09256003853941254272251,18.92343738678304385946002531472523,41589.3759840130064166202962228662,834.54767645,25775.776488102541195345,2152207.64571942,33448956.750547460528528037
