feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,17416206982640423831,231343434.8879431710959940004240194,505804862.4635804712266096961997044,6933518,462686869775.8863421919880008480452,0.0002726650281188975347299406138784644,137990.0558345556754133235764772302,234984211.587182,73883.348122766872723245,462657589447.45767,218597209.319729034371931456
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,4601153279422142970,45844683.12694962011624926522019452,103868463.1268316908091932505132214,3900053,91689366253.89924023249853044038522,3667.387288721876324439011429897874,28336.64934835022430363488397151715,15078.396356850211320779,48598348.557184,38585698.847153419379482558,91561741941.576925
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,132379864816302178,7844202.585943881788719551514470932,30238146.89119,800399,78442025859.43881788719551514470932,1.000154781660045051322402729188384,8249.354420054120808570551370975751,13353761.603487,16884385.287703,78460783414.288888,78424494164.396709
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,8254480603385355593,230554006.9793308198553313220349921,388477768.5169674177252329995404387,721351,76851335659.77693995177710734500911,0.000272812829759008870968459364294175,105981.7193275790882088555075835918,180062264.460362,56858.423427332716572674,76847604711.052781,33744653.184756348450265065
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,343816836370814409,33087480.0900505436318926480506364,152445948.4284638498296715666837132,927024,66174960180.10108726378529610127054,18.97111229362130591974957061005383,41589.21057606515419666819704716734,824.60535267,25964.005261520558897851,2152191.70395468,33448654.773108079877400213
