feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,14503359210490432620,231577921.4155782349075308986374753,517487327.892984005912181968361133,6940443,463155842831.1564698150617972749558,0.0002626897041547768466815739940787613,135674.7181605350177759574206030806,253995015.588331,69082.358702306980925921,463126754889.201531,218722397.407455028571005958
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,5343550757165619102,45950544.02978554010588785169663824,103387631.0015703971870377118379472,3905247,91901088059.57108021177570339327289,3807.844934657711319096126917600358,27106.1472259360284614058417740481,12206.296827431227468433,56830659.928876,38642098.924304799094292899,91773545038.696594
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,51939482928267547,7850779.006743309927429209787137468,30130413.147205,801365,78507790067.43309927429209787137468,1.000326640290923047199571145108393,7899.585345310908274035073509418324,12287631.401157,17842781.746048,78526533504.188829,78490269282.007724
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,1064504605949889108,230735648.2220967891584307706908934,397119681.4276543740156770366732863,721786,76911882740.69892971947692356364269,0.0002621797884654529134060683931374597,104116.7540721704738080943922148463,190191743.033688,54252.323115722376209142,76908162419.162618,33760896.84347248716112274
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,308864240927853338,33129991.86458853048909374059639403,151038886.8863579690272342356174757,928193,66259983729.17706097818748119278561,18.3128451821476180419459020788524,39599.3434139228023505357728642357,947.33515095,22294.695578581848584868,2153411.20513974,33471325.641456410809033835
