feeTier,id,liquidity,feesUSD,totalValueLockedUSD,txCount,volumeUSD,token1Price,totalValueLockedETH,totalValueLockedToken0,totalValueLockedToken1,volumeToken0,volumeToken1
500,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,10240984612273361989,231631028.5885817993597227497192455,525510732.6135359422363179699687729,6941603,463262057177.1635987194454994384974,0.0002537336512392324522315260219712704,133757.7913877117750713359057821374,267091633.957425,65775.189246352352375405,463232985166.454111,218749923.758085997289644278
500,0x11b815efb8f581194ae79006d24e0d814b7697f6,2239360361783894354,45973529.17576988781049709589983438,104033897.7906303344999720654586448,3906265,91947058351.53977562099419179966507,3944.147676193333299472943917309029,26458.89465919183165653243867671076,11112.05942181365156134,60342320.004679,38654000.668549626869252723,91819549405.7595
100,0x3416cf6c708da44db2624d63ea0aaef7113527c6,51223932310599004,7853345.563011978473040984528186492,30128410.835957,801584,78533455630.11978473040984528186492,1.000468213173093382111466313270943,7668.558302124789323590994561626007,10316540.976923,19811869.859034,78552194275.152499,78515939618.686481
3000,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,902916073696970287,230738988.165509634782013850020038,403484934.6705962466963676002924308,721843,76912996055.16987826067128334002414,0.0002543295523968613092689761449450604,102618.1428336495704388487843552029,191158787.122966,54000.814067938732211727,76909277676.518609,33761184.20692195125944136
500,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,191087946631787780,33139381.77840209855341703191702102,153896595.080496079136136618197611,928487,66278763556.8041971068340638340398,17.77979112979120442387413881841316,39171.16698584040704301131683337317,1026.38627832,20869.368714311137056485,2153679.71797603,33476167.126381498401454552
